Source,Target,Weight,Type,FrontPage,StartTime,EndTime
n0,n1,70,Directed,0,10,600
n0,n109,73,Directed,0,10,600
n0,n110,53,Directed,1,10,600
n0,n111,47,Directed,0,10,600
n0,n118,23,Directed,0,10,600
n0,n142,29,Directed,1,10,600
n0,n209,22,Directed,0,10,600
n0,n211,133,Directed,1,10,600
n0,n212,25,Directed,0,10,600
n0,n22,274,Directed,1,10,600
n0,n23,56,Directed,0,10,1200
n0,n291,76,Directed,0,10,600
n0,n294,92,Directed,0,10,600
n0,n310,55,Directed,0,10,600
n0,n34,72,Directed,0,10,1200
n0,n35,75,Directed,1,10,1200
n0,n372,41,Directed,0,10,600
n0,n386,52,Directed,0,10,600
n0,n387,24,Directed,0,10,600
n0,n404,19,Directed,1,10,600
n0,n407,18,Directed,1,10,600
n0,n408,112,Directed,0,10,600
n0,n436,27,Directed,0,10,600
n0,n468,22,Directed,0,10,600
n0,n501,23,Directed,0,10,600
n0,n83,158,Directed,0,10,1200
n0,n84,48,Directed,0,10,1200
n0,n85,165,Directed,0,10,1200
n0,n86,84,Directed,0,10,1200
n0,n93,114,Directed,0,10,1200
n0,n94,134,Directed,1,10,600
n1,n1089,26,Directed,0,10,1200
n1,n109,56,Directed,0,10,600
n1,n110,125,Directed,1,10,600
n1,n111,54,Directed,0,10,600
n1,n118,43,Directed,0,10,600
n1,n142,69,Directed,1,10,600
n1,n1447,254,Directed,1,10,1200
n1,n211,421,Directed,1,10,600
n1,n212,23,Directed,0,10,600
n1,n22,690,Directed,1,10,600
n1,n23,61,Directed,0,10,600
n1,n250,1,Directed,0,10,600
n1,n291,104,Directed,0,10,600
n1,n294,90,Directed,0,10,600
n1,n34,128,Directed,0,10,600
n1,n35,170,Directed,1,10,600
n1,n372,110,Directed,0,10,600
n1,n386,70,Directed,0,10,600
n1,n387,39,Directed,0,10,600
n1,n404,52,Directed,1,10,600
n1,n407,42,Directed,1,10,1200
n1,n408,100,Directed,0,10,1200
n1,n436,31,Directed,0,10,1200
n1,n468,21,Directed,0,10,1200
n1,n501,28,Directed,0,10,1200
n1,n524,33,Directed,0,10,1200
n1,n557,25,Directed,0,10,1200
n1,n624,29,Directed,0,10,1200
n1,n681,20,Directed,0,10,1200
n1,n751,39,Directed,1,10,1200
n1,n83,163,Directed,0,10,600
n1,n84,78,Directed,0,10,600
n1,n842,40,Directed,0,10,1200
n1,n85,214,Directed,0,10,600
n1,n86,107,Directed,0,10,600
n1,n87,28,Directed,1,10,600
n1,n88,36,Directed,1,10,600
n1,n93,227,Directed,0,10,600
n1,n94,357,Directed,1,10,600
n10,n1003,49,Directed,2,50,600
n10,n1012,38,Directed,2,50,600
n10,n1022,21,Directed,1,50,600
n10,n1084,24,Directed,2,50,600
n10,n1227,51,Directed,2,50,1200
n10,n1444,50,Directed,2,50,1200
n10,n153,572,Directed,2,40,1200
n10,n154,101,Directed,2,40,1200
n10,n155,135,Directed,2,40,1200
n10,n224,136,Directed,2,40,1200
n10,n225,72,Directed,1,40,1200
n10,n227,124,Directed,2,40,1200
n10,n228,170,Directed,2,40,1200
n10,n321,298,Directed,2,40,600
n10,n322,83,Directed,2,40,600
n10,n329,33,Directed,1,40,600
n10,n394,28,Directed,1,40,600
n10,n406,62,Directed,1,40,600
n10,n457,131,Directed,2,40,600
n10,n459,36,Directed,1,40,600
n10,n460,41,Directed,1,40,600
n10,n461,21,Directed,1,40,600
n10,n462,27,Directed,1,40,600
n10,n475,22,Directed,1,40,600
n10,n477,91,Directed,2,50,600
n10,n478,29,Directed,1,50,600
n10,n479,141,Directed,2,50,600
n10,n603,1,Directed,0,50,600
n10,n613,32,Directed,1,50,600
n10,n614,22,Directed,1,50,600
n10,n660,137,Directed,2,50,600
n10,n68,120,Directed,1,40,1200
n10,n69,54,Directed,2,40,1200
n10,n70,42,Directed,1,40,1200
n10,n707,23,Directed,1,50,600
n10,n739,214,Directed,2,50,600
n10,n746,37,Directed,1,50,600
n10,n802,44,Directed,2,50,1200
n10,n857,22,Directed,1,50,1200
n10,n878,331,Directed,2,50,1200
n10,n890,24,Directed,2,50,1200
n10,n891,23,Directed,1,50,600
n10,n958,46,Directed,2,50,600
n10,n966,72,Directed,2,50,600
n100,n125,84,Directed,2,410,750
n100,n127,105,Directed,2,410,750
n100,n158,49,Directed,2,410,750
n100,n159,59,Directed,2,410,750
n100,n176,31,Directed,1,410,750
n100,n177,30,Directed,1,410,750
n100,n192,24,Directed,1,410,750
n100,n193,26,Directed,2,410,750
n100,n293,19,Directed,2,410,750
n100,n530,51,Directed,2,410,750
n100,n609,46,Directed,1,410,750
n100,n610,19,Directed,1,410,750
n100,n618,18,Directed,1,410,750
n1001,n1437,41,Directed,1,1180,1200
n101,n122,18,Directed,1,410,750
n101,n123,18,Directed,1,410,750
n101,n1436,177,Directed,2,410,750
n101,n233,23,Directed,2,410,750
n101,n302,39,Directed,2,410,750
n101,n326,37,Directed,2,410,750
n101,n327,23,Directed,1,410,750
n101,n556,26,Directed,1,410,750
n101,n567,36,Directed,2,410,750
n1011,n973,1,Directed,0,1180,1200
n1013,n1444,20,Directed,1,1180,1200
n1018,n1474,42,Directed,1,1180,1200
n102,n119,20,Directed,0,410,750
n102,n120,37,Directed,0,410,750
n102,n121,117,Directed,0,410,750
n102,n122,34,Directed,0,410,750
n102,n123,47,Directed,0,410,750
n102,n136,32,Directed,1,410,750
n102,n137,69,Directed,1,410,750
n102,n138,44,Directed,0,410,750
n102,n1436,73,Directed,1,420,750
n102,n183,18,Directed,1,410,750
n102,n233,50,Directed,1,410,750
n102,n302,77,Directed,1,410,750
n102,n303,26,Directed,0,410,750
n102,n325,39,Directed,0,410,750
n102,n326,39,Directed,1,410,750
n102,n327,77,Directed,0,410,750
n102,n395,21,Directed,1,410,750
n102,n438,39,Directed,0,420,750
n102,n440,23,Directed,1,420,750
n102,n495,21,Directed,1,420,750
n102,n556,33,Directed,0,420,750
n102,n567,36,Directed,1,420,750
n102,n603,20,Directed,0,420,750
n1021,n11,1,Directed,0,1180,1200
n1023,n1439,28,Directed,1,1180,1200
n1025,n1433,114,Directed,1,1180,1200
n1026,n1435,18,Directed,1,1180,1200
n1027,n1441,27,Directed,1,1180,1200
n103,n104,357,Directed,1,420,750
n103,n1045,31,Directed,1,420,750
n103,n105,170,Directed,1,420,750
n103,n106,133,Directed,1,420,750
n103,n107,167,Directed,1,420,750
n103,n108,84,Directed,1,420,750
n103,n1086,28,Directed,2,420,750
n103,n174,111,Directed,1,420,750
n103,n178,125,Directed,1,420,750
n103,n184,72,Directed,1,420,750
n103,n249,72,Directed,1,420,750
n103,n250,68,Directed,1,420,750
n103,n254,1,Directed,0,420,750
n103,n259,127,Directed,1,420,750
n103,n260,33,Directed,1,420,750
n103,n261,39,Directed,1,420,750
n103,n338,258,Directed,1,420,750
n103,n361,68,Directed,1,420,750
n103,n362,33,Directed,1,420,750
n103,n363,69,Directed,1,420,750
n103,n378,91,Directed,2,420,750
n103,n379,59,Directed,1,420,750
n103,n383,20,Directed,1,420,750
n103,n384,22,Directed,1,420,750
n103,n385,85,Directed,1,420,750
n103,n481,41,Directed,1,420,750
n103,n493,54,Directed,1,420,750
n103,n500,22,Directed,1,420,750
n103,n503,19,Directed,1,420,750
n103,n549,39,Directed,2,420,750
n103,n583,208,Directed,2,420,750
n103,n619,23,Directed,2,420,750
n103,n936,39,Directed,2,420,750
n103,n94,1,Directed,0,420,750
n1032,n1443,28,Directed,1,1180,1200
n104,n1045,34,Directed,0,430,775
n104,n105,179,Directed,0,420,750
n104,n106,146,Directed,0,420,750
n104,n107,242,Directed,0,420,775
n104,n108,93,Directed,0,420,775
n104,n1086,40,Directed,1,430,775
n104,n1433,335,Directed,1,430,775
n104,n174,177,Directed,0,420,775
n104,n178,148,Directed,0,420,775
n104,n184,133,Directed,0,420,775
n104,n249,91,Directed,0,420,775
n104,n250,79,Directed,0,420,775
n104,n251,1,Directed,0,420,775
n104,n259,193,Directed,0,420,775
n104,n260,37,Directed,0,420,775
n104,n261,30,Directed,0,420,775
n104,n313,1,Directed,0,420,775
n104,n338,233,Directed,0,420,775
n104,n361,78,Directed,0,420,775
n104,n362,44,Directed,0,420,775
n104,n363,77,Directed,0,420,775
n104,n378,98,Directed,1,420,775
n104,n379,49,Directed,0,420,775
n104,n383,29,Directed,0,430,775
n104,n384,28,Directed,0,430,775
n104,n385,84,Directed,0,430,775
n104,n420,28,Directed,0,430,775
n104,n464,31,Directed,0,430,775
n104,n481,39,Directed,0,430,775
n104,n493,76,Directed,0,430,775
n104,n500,26,Directed,0,430,775
n104,n549,42,Directed,1,430,775
n104,n583,232,Directed,1,430,775
n104,n902,25,Directed,0,430,775
n104,n936,44,Directed,1,430,775
n1042,n1411,1,Directed,0,1180,1200
n1045,n1433,24,Directed,1,1180,1200
n1046,n1435,51,Directed,1,1180,1200
n105,n106,54,Directed,0,430,775
n105,n107,131,Directed,0,430,775
n105,n108,63,Directed,0,430,775
n105,n1086,19,Directed,1,430,775
n105,n1433,21,Directed,1,430,775
n105,n174,81,Directed,0,430,775
n105,n178,78,Directed,0,430,775
n105,n184,55,Directed,0,430,775
n105,n249,47,Directed,0,430,775
n105,n250,64,Directed,0,430,775
n105,n259,72,Directed,0,430,775
n105,n260,28,Directed,0,430,775
n105,n261,20,Directed,0,430,775
n105,n338,109,Directed,0,430,775
n105,n361,48,Directed,0,430,775
n105,n363,34,Directed,0,430,775
