Source,Target,Type,Weight
0,109,Undirected,10
1,36,Undirected,10
1,61,Undirected,10
2,152,Undirected,10
3,104,Undirected,10
4,132,Undirected,10
4,168,Undirected,10
5,217,Undirected,10
7,173,Undirected,10
7,177,Undirected,10
8,53,Undirected,10
9,105,Undirected,10
9,106,Undirected,10
9,128,Undirected,10
9,152,Undirected,10
10,8,Undirected,10
10,25,Undirected,10
10,61,Undirected,10
10,70,Undirected,10
10,105,Undirected,10
10,133,Undirected,10
10,223,Undirected,10
11,68,Undirected,10
11,78,Undirected,10
11,106,Undirected,10
11,191,Undirected,10
12,204,Undirected,10
13,179,Undirected,10
14,120,Undirected,10
14,159,Undirected,10
14,172,Undirected,10
18,130,Undirected,10
19,11,Undirected,10
19,112,Undirected,10
20,154,Undirected,10
21,36,Undirected,10
21,49,Undirected,10
21,109,Undirected,10
21,111,Undirected,10
22,77,Undirected,10
22,104,Undirected,10
22,106,Undirected,10
22,164,Undirected,10
24,44,Undirected,10
24,45,Undirected,10
25,69,Undirected,10
27,41,Undirected,10
27,98,Undirected,10
27,136,Undirected,10
27,203,Undirected,10
28,120,Undirected,10
30,11,Undirected,10
30,22,Undirected,10
30,168,Undirected,10
30,169,Undirected,10
31,63,Undirected,10
34,45,Undirected,10
34,61,Undirected,10
35,37,Undirected,10
35,69,Undirected,10
35,103,Undirected,10
35,111,Undirected,10
36,84,Undirected,10
36,123,Undirected,10
37,18,Undirected,10
37,78,Undirected,10
37,87,Undirected,10
37,101,Undirected,10
37,157,Undirected,10
37,181,Undirected,10
37,197,Undirected,10
37,213,Undirected,10
38,6,Undirected,10
38,84,Undirected,10
41,0,Undirected,10
41,2,Undirected,10
41,4,Undirected,10
41,9,Undirected,10
41,10,Undirected,10
41,11,Undirected,10
41,19,Undirected,10
41,22,Undirected,10
41,25,Undirected,10
41,28,Undirected,10
41,30,Undirected,10
41,31,Undirected,10
41,35,Undirected,10
41,49,Undirected,10
41,77,Undirected,10
41,131,Undirected,10
41,132,Undirected,10
41,193,Undirected,10
41,214,Undirected,10
41,223,Undirected,10
41,226,Undirected,10
42,18,Undirected,10
43,11,Undirected,10
43,154,Undirected,10
44,21,Undirected,10
44,41,Undirected,10
44,71,Undirected,10
44,77,Undirected,10
44,131,Undirected,10
45,25,Undirected,10
45,41,Undirected,10
45,43,Undirected,10
45,83,Undirected,10
45,123,Undirected,10
45,132,Undirected,10
45,180,Undirected,10
47,18,Undirected,10
48,11,Undirected,10
48,35,Undirected,10
48,41,Undirected,10
48,205,Undirected,10
49,70,Undirected,10
49,138,Undirected,10
49,157,Undirected,10
49,176,Undirected,10
49,182,Undirected,10
50,0,Undirected,10
50,1,Undirected,10
50,2,Undirected,10
50,3,Undirected,10
50,6,Undirected,10
50,8,Undirected,10
50,9,Undirected,10
50,10,Undirected,10
50,11,Undirected,10
50,12,Undirected,10
50,19,Undirected,10
50,20,Undirected,10
50,22,Undirected,10
50,25,Undirected,10
50,27,Undirected,10
50,28,Undirected,10
50,30,Undirected,10
50,31,Undirected,10
50,32,Undirected,10
50,33,Undirected,10
50,34,Undirected,10
50,35,Undirected,10
50,36,Undirected,10
50,37,Undirected,10
50,38,Undirected,10
50,41,Undirected,10
50,44,Undirected,10
50,45,Undirected,10
50,48,Undirected,10
50,49,Undirected,10
51,26,Undirected,10
53,37,Undirected,10
53,48,Undirected,10
53,50,Undirected,10
53,118,Undirected,10
53,152,Undirected,10
53,172,Undirected,10
53,189,Undirected,10
53,226,Undirected,10
55,37,Undirected,10
55,69,Undirected,10
55,105,Undirected,10
56,192,Undirected,10
57,50,Undirected,10
58,50,Undirected,10
59,19,Undirected,10
59,21,Undirected,10
59,50,Undirected,10
59,146,Undirected,10
59,180,Undirected,10
61,30,Undirected,10
61,41,Undirected,10
61,50,Undirected,10
61,70,Undirected,10
61,84,Undirected,10
61,145,Undirected,10
62,40,Undirected,10
63,24,Undirected,10
65,27,Undirected,10
65,48,Undirected,10
65,50,Undirected,10
65,206,Undirected,10
68,17,Undirected,10
68,50,Undirected,10
68,65,Undirected,10
68,106,Undirected,10
69,41,Undirected,10
69,50,Undirected,10
69,87,Undirected,10
69,92,Undirected,10
69,119,Undirected,10
69,125,Undirected,10
69,168,Undirected,10
69,203,Undirected,10
69,213,Undirected,10
70,4,Undirected,10
70,9,Undirected,10
70,11,Undirected,10
70,19,Undirected,10
70,22,Undirected,10
70,37,Undirected,10
70,41,Undirected,10
70,43,Undirected,10
70,44,Undirected,10
70,48,Undirected,10
70,50,Undirected,10
70,56,Undirected,10
70,59,Undirected,10
70,65,Undirected,10
70,69,Undirected,10
70,77,Undirected,10
70,86,Undirected,10
70,133,Undirected,10
70,172,Undirected,10
70,198,Undirected,10
70,211,Undirected,10
71,134,Undirected,10
72,37,Undirected,10
72,51,Undirected,10
72,80,Undirected,10
72,93,Undirected,10
73,50,Undirected,10
74,50,Undirected,10
74,172,Undirected,10
74,185,Undirected,10
75,41,Undirected,10
75,49,Undirected,10
75,50,Undirected,10
75,77,Undirected,10
75,120,Undirected,10
75,128,Undirected,10
75,181,Undirected,10
76,22,Undirected,10
77,9,Undirected,10
77,50,Undirected,10
77,74,Undirected,10
77,111,Undirected,10
77,125,Undirected,10
78,70,Undirected,10
78,84,Undirected,10
79,44,Undirected,10
79,50,Undirected,10
80,0,Undirected,10
80,1,Undirected,10
80,2,Undirected,10
80,4,Undirected,10
80,5,Undirected,10
80,8,Undirected,10
80,9,Undirected,10
80,10,Undirected,10
80,11,Undirected,10
80,14,Undirected,10
80,18,Undirected,10
80,19,Undirected,10
80,20,Undirected,10
80,22,Undirected,10
80,25,Undirected,10
80,27,Undirected,10
80,29,Undirected,10
80,34,Undirected,10
80,35,Undirected,10
80,37,Undirected,10
80,41,Undirected,10
80,43,Undirected,10
80,44,Undirected,10
80,45,Undirected,10
80,48,Undirected,10
80,49,Undirected,10
80,50,Undirected,10
80,52,Undirected,10
80,55,Undirected,10
80,56,Undirected,10
80,67,Undirected,10
80,69,Undirected,10
80,70,Undirected,10
80,75,Undirected,10
80,77,Undirected,10
80,78,Undirected,10
80,79,Undirected,10
80,91,Undirected,10
80,122,Undirected,10
80,125,Undirected,10
80,128,Undirected,10
80,203,Undirected,10
80,219,Undirected,10
80,229,Undirected,10
81,13,Undirected,10
82,44,Undirected,10
82,59,Undirected,10
82,105,Undirected,10
82,157,Undirected,10
82,205,Undirected,10
82,219,Undirected,10
82,229,Undirected,10
83,106,Undirected,10
84,2,Undirected,10
84,9,Undirected,10
84,11,Undirected,10
84,19,Undirected,10
84,25,Undirected,10
84,27,Undirected,10
84,28,Undirected,10
84,35,Undirected,10
84,37,Undirected,10
84,45,Undirected,10
84,48,Undirected,10
84,50,Undirected,10
84,65,Undirected,10
84,69,Undirected,10
84,70,Undirected,10
84,75,Undirected,10
84,77,Undirected,10
84,80,Undirected,10
84,128,Undirected,10
84,150,Undirected,10
84,168,Undirected,10
84,179,Undirected,10
84,181,Undirected,10
84,190,Undirected,10
84,192,Undirected,10
85,172,Undirected,10
86,9,Undirected,10
86,41,Undirected,10
86,49,Undirected,10
86,50,Undirected,10
86,75,Undirected,10
86,80,Undirected,10
86,84,Undirected,10
87,9,Undirected,10
87,10,Undirected,10
87,25,Undirected,10
87,30,Undirected,10
87,41,Undirected,10
87,48,Undirected,10
87,50,Undirected,10
87,65,Undirected,10
87,70,Undirected,10
87,80,Undirected,10
87,84,Undirected,10
87,90,Undirected,10
87,97,Undirected,10
87,194,Undirected,10
87,212,Undirected,10
87,230,Undirected,10
88,32,Undirected,10
88,50,Undirected,10
88,59,Undirected,10
88,61,Undirected,10
88,104,Undirected,10
