ID,Visits,SiteType,Rank,StartTime,EndTime,TimeInterval,ObamaMentions
n0,1820,Politics,33,10,1200,"<[ 10, 1200 ]>","< [0, 300, 0); [ 300, 450, 100); [ 450, 1050, 0); [ 1050, 1200, 100)>"
n1,2089,Politics,39,10,1200,"<[ 10, 1200 ]>","< [0, 300, 0); [ 300, 450, 100); [ 450, 1050, 0); [ 1050, 1200, 100)>"
n2,1834,Media,28,10,1200,"<[ 10, 1200 ]>","< [0, 300, 0); [ 300, 450, 100); [ 450, 1050, 0); [ 1050, 1200, 100)>"
n3,3678,Media,42,10,1200,"<[ 10, 1200 ]>","< [0, 300, 0); [ 300, 450, 100); [ 450, 1050, 0); [ 1050, 1200, 100)>"
n4,162,Politics,3,10,1200,"<[ 10, 1200 ]>","< [0, 300, 0); [ 300, 450, 100); [ 450, 1050, 0); [ 1050, 1200, 100)>"
n5,535,Politics,11,10,1200,"<[ 10, 1200 ]>","< [0, 300, 0); [ 300, 450, 100); [ 450, 1050, 0); [ 1050, 1200, 100)>"
n6,4067,Media,43,10,1200,"<[ 10, 1200 ]>","< [0, 300, 0); [ 300, 450, 100); [ 450, 1050, 0); [ 1050, 1200, 100)>"
n7,267,Politics,6,10,1200,"<[ 10, 1200 ]>","< [0, 300, 0); [ 300, 450, 100); [ 450, 1050, 0); [ 1050, 1200, 100)>"
n8,91,Politics,2,10,1200,"<[ 10, 1200 ]>","< [0, 300, 0); [ 300, 450, 100); [ 450, 1050, 0); [ 1050, 1200, 100)>"
n9,25691,Media,70,10,1200,"<[ 10, 1200 ]>","< [0, 300, 0); [ 300, 450, 100); [ 450, 1050, 0); [ 1050, 1200, 100)>"
n10,2640,Media,46,10,1200,"<[ 10, 1200 ]>","< [0, 300, 0); [ 300, 450, 100); [ 450, 1050, 0); [ 1050, 1200, 100)>"
n11,6105,Media,46,10,1200,"<[ 10, 1200 ]>","< [0, 300, 0); [ 300, 450, 100); [ 450, 1050, 0); [ 1050, 1200, 100)>"
n12,16199,Media,54,10,1200,"<[ 10, 1200 ]>","< [0, 300, 0); [ 300, 450, 100); [ 450, 1050, 0); [ 1050, 1200, 100)>"
n13,1294,Politics,33,10,1200,"<[ 10, 1200 ]>","< [0, 300, 0); [ 300, 450, 100); [ 450, 1050, 0); [ 1050, 1200, 100)>"
n14,2885,Politics,35,10,1200,"<[ 10, 1200 ]>","< [0, 300, 0); [ 300, 450, 100); [ 450, 1050, 0); [ 1050, 1200, 100)>"
n15,749,Politics,19,10,1200,"<[ 10, 1200 ]>","< [0, 300, 0); [ 300, 450, 100); [ 450, 1050, 0); [ 1050, 1200, 100)>"
n16,861,Politics,25,10,1200,"<[ 10, 1200 ]>","< [0, 300, 0); [ 300, 450, 100); [ 450, 1050, 0); [ 1050, 1200, 100)>"
n17,3005,Politics,38,10,1200,"<[ 10, 1200 ]>","< [0, 300, 0); [ 300, 450, 100); [ 450, 1050, 0); [ 1050, 1200, 100)>"
n18,23051,Media,45,10,1200,"<[ 10, 1200 ]>","< [0, 300, 0); [ 300, 450, 100); [ 450, 1050, 0); [ 1050, 1200, 100)>"
n19,971,Politics,22,10,1200,"<[ 10, 1200 ]>","< [0, 300, 0); [ 300, 450, 100); [ 450, 1050, 0); [ 1050, 1200, 100)>"
n20,1642,Politics,27,10,1200,"<[ 10, 1200 ]>","< [0, 300, 0); [ 300, 450, 100); [ 450, 1050, 0); [ 1050, 1200, 100)>"
n22,26716,Media,55,10,1200,"<[ 10, 1200 ]>","< [0, 300, 0); [ 300, 450, 100); [ 450, 1050, 0); [ 1050, 1200, 100)>"
n23,1046,Politics,31,10,1200,"<[ 10, 1200 ]>","< [0, 300, 0); [ 300, 450, 100); [ 450, 1050, 0); [ 1050, 1200, 100)>"
n24,103,Politics,2,10,1200,"<[ 10, 1200 ]>","< [0, 300, 0); [ 300, 450, 100); [ 450, 1050, 0); [ 1050, 1200, 100)>"
n25,166,Politics,4,10,1200,"<[ 10, 1200 ]>","< [0, 400, 0); [ 400, 600, 100); [ 600, 1000, 0); [ 1000, 1200, 100)>"
n26,32094,Media,63,10,1200,"<[ 10, 1200 ]>","< [0, 400, 0); [ 400, 600, 100); [ 600, 1000, 0); [ 1000, 1200, 100)>"
n27,241,Politics,7,10,1200,"<[ 10, 1200 ]>","< [0, 400, 0); [ 400, 600, 100); [ 600, 1000, 0); [ 1000, 1200, 100)>"
n28,255,Politics,4,10,1200,"<[ 10, 1200 ]>","< [0, 400, 0); [ 400, 600, 100); [ 600, 1000, 0); [ 1000, 1200, 100)>"
n29,562,Politics,28,10,1200,"<[ 10, 1200 ]>","< [0, 400, 0); [ 400, 600, 100); [ 600, 1000, 0); [ 1000, 1200, 100)>"
n30,1525,Media,37,10,1200,"<[ 10, 1200 ]>","< [0, 400, 0); [ 400, 600, 100); [ 600, 1000, 0); [ 1000, 1200, 100)>"
n31,3397,Media,52,10,1200,"<[ 10, 1200 ]>","< [0, 400, 0); [ 400, 600, 100); [ 600, 1000, 0); [ 1000, 1200, 100)>"
n32,194,Politics,7,10,1200,"<[ 10, 1200 ]>","< [0, 400, 0); [ 400, 600, 100); [ 600, 1000, 0); [ 1000, 1200, 100)>"
n33,1602,Politics,34,10,1200,"<[ 10, 1200 ]>","< [0, 400, 0); [ 400, 600, 100); [ 600, 1000, 0); [ 1000, 1200, 100)>"
n34,1712,Politics,40,10,1200,"<[ 10, 1200 ]>","< [0, 400, 0); [ 400, 600, 100); [ 600, 1000, 0); [ 1000, 1200, 100)>"
n35,2738,Media,39,10,1200,"<[ 10, 1200 ]>","< [0, 400, 0); [ 400, 600, 100); [ 600, 1000, 0); [ 1000, 1200, 100)>"
n36,2651,Media,34,10,1200,"<[ 10, 1200 ]>","< [0, 400, 0); [ 400, 600, 100); [ 600, 1000, 0); [ 1000, 1200, 100)>"
n37,305,Politics,15,10,1200,"<[ 10, 1200 ]>","< [0, 400, 0); [ 400, 600, 100); [ 600, 1000, 0); [ 1000, 1200, 100)>"
n38,1341,Media,29,10,1200,"<[ 10, 1200 ]>","< [0, 400, 0); [ 400, 600, 100); [ 600, 1000, 0); [ 1000, 1200, 100)>"
n39,1489,Politics,31,10,1200,"<[ 10, 1200 ]>","< [0, 400, 0); [ 400, 600, 100); [ 600, 1000, 0); [ 1000, 1200, 100)>"
n40,22665,Media,54,10,1200,"<[ 10, 1200 ]>","< [0, 400, 0); [ 400, 600, 100); [ 600, 1000, 0); [ 1000, 1200, 100)>"
